Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,,,,,,,,,,,,,,
Middle income,MIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.00128178,,,,,,,,,,,,,,,,,,,65.5913504,,
North Macedonia,MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,,,,,,,,59.9,,
Mali,MLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,6.7,,,,,8.1,,,,,8.2,,,,9.8,,,10.3,,15.6,,,17.2,,,
Malta,MLT,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,85.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,MMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,,,,,,32.7,,,,32.5,,,,,,41,,,,,,,,,52.2,,,,,
Middle East & North Africa (excluding high income),MNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.60118748,,,,,,,,,,61.05519415,,,,,,,,,,64.88498641,,,,,,,,,,,
Montenegro,MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,,,,,,39.6,,,,,,,23.2,,,,,20.7,,,
Mongolia,MNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3,,59.9,,67.4,,,69,,66,,,55.2,,54.9,,,54.6,,,,,48.1,,,
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,16.5,18.1,,,,16.2,11.6,,11.6,,,,27.1,,,,,,
Mauritania,MRT,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,4.1,,,,,,,,,,8,,,,,,9.3,,,,11.4,,,,17.8,,,,,11.5,14.3
Mauritius,MUS,,,,,,,,,,,,,,,,,,,,,,,,,,79.5,,,,,,74.6,,,,,,,,,,,75.9,,,,,,,,,,,,63.8,,,,,,,
Malawi,MWI,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,13,,,,21.9,,,,30.6,,,,32.5,32.5,41,,,,46.1,,,,58.6,,59.2,,,,65.6,
Malaysia,MYS,,,,,,,,8.7,,,,,,,33,,,,,,,,,,51.4,,,,48.3,,,,,,55.1,,,,,,,,,,49,,,,,,,,,,52.2,,,,,,,
North America,NAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.7,,,,,,,,,,73.52345873,,,,,,,,,,76.4,,,,,,,,,73.9,,
Namibia,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,28.9,,,,,,,,43.7,,,,,,,55.1,,,,,,56.1,,,,,,,,
New Caledonia,NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,8.2,,14,,,,,,11.2,,,,,,13.9,,,14.7,17,18.9,11.1,,,11
Nigeria,NGA,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,6,,,,,,,,,15.2,,,,12.6,,,,14.7,14.6,,,17.5,13.5,15.1,,,22.1,13.4,16.6,,,
Nicaragua,NIC,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,48.7,,,,,60.3,,,68.6,,,,,,72.4,,,,,80.4,,,,,,,,,
Netherlands,NLD,,,,,,,,,,59,,,,,,75,,,,,,,76.8,,,,,,76.3,,,,,78.5,,,,,75,,,,,75,,,,,75,,,,,73,,,,,,,,
Norway,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,NPL,,,,,,,,,,,,,,,,,2.4,,,,,6.8,,,,,15.1,,,,,,24.1,,,,28.5,,,,37.3,39.3,,,38.3,,48,,,,,49.7,,,49.6,,52.6,52.6,,46.7,,
Nauru,NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,,,,,,,,,,,,,,
New Zealand,NZL,,,,,,,,,,,,,,,,,70.1,,,,,,,,,,,,,,,,,,,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.86846497,,,,,,,,,,,,,,,,,,,,74.5352483,,,,,,,,,,,
Oman,OMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,23.7,,,,,31.7,,,,,,,,24.4,,,,,,29.7,,,,,,,
Other small states,OSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.97984421,,,,,,,,,,38.89097416,,,,,,,,,,,
Pakistan,PAK,,,,,,,,,,5.5,,,,,,5.4,,,,,3.3,,,,,9.1,,,,,,11.8,,21.9,,17.8,13,23.9,,17,,27.6,,32.1,,,26,29.6,27,,,,29,35.4,32,,,,34.2,34,,
Panama,PAN,,,,,,,,,,,,,,,,,53.9,,,60.6,,,,,,58.2,,,,,,,,,,,,,,,,,,,,,,,,62.5,,,,62.8,,50.8,,,,,,
Peru,PER,,,,,,,,,,,26,,,,,,,,31.4,,,41,,,,,45.8,,,,,,59,,,,64.2,,,,68.9,,,,,71.3,71.3,,72.4,73.2,74.4,75.4,75.5,74,74.6,74.6,76.2,75.4,76.3,75.9,77.4,
Philippines,PHL,,,,,,,,,,,,,,,,,,,36.2,,,,,,,,,,,,,,,40,,50.7,48.1,47,47.8,49.3,47,49.5,48.8,48.9,49.3,49.3,50.6,,50.7,,,48.9,,55.1,,,,54.3,,,,
Palau,PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,,,,,,,,,,32.4,,,,,,,,,,36.7,36.7,,,
Poland,POL,,,,,,,,,,,,,60,,,,,75,,,,,,,,,,,,,,72.8,,,,,,,,,,,,,,,,,,,,50.5,,,63.2,,,,,,,
Pre-demographic dividend,PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.33992866,,,,,,,,,,19.65726781,,,,,,,,,,22.47352162,,,,,,,,,29.87395442,,
Puerto Rico,PRI,,,,,,,,,,,,,,,,,,,,,,,69.4,,,,,,,,,,,,,,77.7,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.9,,,,,,67.3,,,,,68.6,,67.6,,69.1,,,,70.6,,,,78.2,,,70.2,,,,
Portugal,PRT,,,,,,,,,,,,,,,,,,,,,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,85.1,,,,,,,,73.9,,,,,,,
Paraguay,PRY,,,,,,,,,,,,,,,,,,28.6,,37.7,,,,,,,,44.8,,,48.4,,,,,,55.9,,62.3,,,,,,72.8,,,,79.4,,,,,,,,68.4,,,,,
West Bank and Gaza,PSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,,,,51.4,,,,50.8,,,50.2,,,52.5,,,,57.2,,,,,,57.3,
Pacific island small states,PSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-demographic dividend,PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.67949822,,,,,,,,,,75.05436994,,,,,,,,,,,
French Polynesia,PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,,,,,,,,,,43.2,,,,,,,,,,,,,,37.5,,,,,,,,,
Romania,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3,,,,,,63.8,,,,,70.3,69.8,,,,,,,,,,,,,,,,
Russian Federation,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,66.8,63.4,65.3,,,,,,,,68.5,,,63,,,,68,,,,,,,,,,
Rwanda,RWA,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,21.2,,,,,,,,13.2,,,,,17.4,,,36.4,,51.6,51.6,,,,53.2,,,,,64.1,
South Asia,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.07144882,,,,,,,,,,45.42945905,,,,,,,,,,52.08622444,,,,,,,,,61.35995332,,
Saudi Arabia,SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,,20.8,,,,,,,,23.8,,,,,,,,,24.6,,,27.6,,
Sudan,SDN,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,8.7,,,9.9,,,,,,7,,,,,,,9.5,,,,9.1,,,,12.8,,,,,,,
Senegal,SEN,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,11.3,,,,,,,7.5,,,,12.9,,10.5,,,,,,11.8,,,,,,13.1,,17.8,22.2,23.3,25.1,27.8,27.1,26.9,,
Singapore,SGP,,,,,,,,,,,,,,60.1,,,,71.3,,,,,74,,,,,67,,,,,65,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,SLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,,,,,,,,29.3,,,,,,
Sierra Leone,SLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,5.3,,,8.2,,11,,,16.6,,,,22.5,,21.2,,
El Salvador,SLV,,,,,,,,,,,,,,,,21.6,,,34.4,,,,,,,47.3,,,47.1,,,,,53.3,,,,,59.7,,,,,67.3,,,,,72.5,,,,,,71.8,,,,,,,
San Marino,SMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,14.6,,,,,9.8,,,,,,,,6.9,,
Serbia,SRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.7,,,,,,41.3,,,,60.8,,,,58.4,,,,,62.3,,
Sub-Saharan Africa (excluding high income),SSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.98047411,,,,,,,,,,22.09177515,,,,,,,,,,23.75646087,,,,,,,,,32.79501291,,
South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,4,,,,,,,,,,,
Sub-Saharan Africa,SSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.98047411,,,,,,,,,,22.09177515,,,,,,,,,,23.75646087,,,,,,,,,32.79501291,,
Small states,SST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.89826712,,,,,,,,,,43.86933748,,,,,,,,,,,
Sao Tome and Principe,STP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,,,,,,30.7,,,38.4,,,,,40.5,,,,,49.7,,
Suriname,SUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,,,,,,45.6,,,,47.6,,,,,,,,39.1,,,
Slovak Republic,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,SWZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,,,,,,,,,,,27.8,,,,,,,50.6,,,65.2,,,,66.1,,,,,,,
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,SYR,,,,,,,,,,,,,,,,,,,29.5,,,,,,,,,,,,,,,39.6,,,,,,,,46.6,,,,,58.3,,,53.9,,,,,,,,,,,,
Turks and Caicos Islands,TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,
Chad,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,7.9,,,,11.1,,,,,,4.8,,,,,5.7,,,,8.1,,
East Asia & Pacific (IDA & IBRD countries),TEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.46599887,,,,,,,,,,,,,,,,,,,77.45877947,,
Europe & Central Asia (IDA & IBRD countries),TEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.62488605,,,,,,,,,,,
Togo,TGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,,,,,,,,,,23.5,,25.7,,,,,,16.4,,,,15.2,,,,19.9,,,23.8,,,,
Thailand,THA,,,,,,,,,,,14.8,,,26.3,,33.3,,,53.4,,,58.2,,,62.2,,,65.5,,66.2,,,,73.9,,,73.6,72.2,,,,77.8,,,,,76.7,,,79.6,,,79.3,,,,78.3,,,73,,
Tajikistan,TJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,,,,,37.9,,37.1,,,,,27.9,,,,,29.3,,,,
Turkmenistan,TKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8,,,,,,48,,,,,,,,,,50.2,,,49.7,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,,,22.6,,,26.7,,,,8,,10,,,,19.8,,,22.3,,,,,,26,,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.60118748,,,,,,,,,,61.16212651,,,,,,,,,,65.04258065,,,,,,,,,,,
Tonga,TON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1,,,,,,,29.3,,
South Asia (IDA & IBRD),TSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.07144882,,,,,,,,,,45.42945905,,,,,,,,,,52.08622444,,,,,,,,,61.35995332,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.98047411,,,,,,,,,,22.09177515,,,,,,,,,,23.75646087,,,,,,,,,32.79501291,,
Trinidad and Tobago,TTO,,,,,,,,,,,,44,,,,,,52,,,,,,,,,,52.7,,,,,,,,,,,,,38.2,,,,,,42.5,,,,,40.3,,,,,,,,,,
Tunisia,TUN,,,,,,,,,,,,,,,,,,,31.4,,,,,41.1,,,,,49.8,,,,,,,60,,,,,65.5,62.6,,,,,60.2,,,,,,62.5,,,,,,50.7,,,
Turkiye,TUR,,,,22.1,,,,,31.6,,,,,36.8,,,,,50.4,,,,,50.6,,,,,63.3,,,,,62.6,,,,,63.9,,,,,71,72.2,,,,73,,,,,73.5,73.5,,,,69.8,,,
Tuvalu,TUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,,,,,,,,,,,,,23.7,
Tanzania,TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,20.4,,18.4,,,25.4,,,,,28.2,26.4,,,,,34.4,,,,,,38.4,,,,,
Uganda,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,14.8,,,,,,22.8,,,,19.7,23.7,,,,,30,,,27.3,34.7,39,41,42.6,,45.2,50.2
Ukraine,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,71.6,,,,,65.6,,66.7,,,,,65.5,,,,,,,,,
Upper middle income,UMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.81612983,,,,,,,,,,,,,,,,,,,78.97003085,,
Uruguay,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,
United States,USA,,,,,,66.5,,,,,67.6,,,69.6,,79,67.7,,,,,,69.7,,,,,,74.3,,70.7,,,,,76.4,,,,,,,72.8,,,,,77.1,76.4,,,,,,72.7,,75.9,,73.9,,,
Uzbekistan,UZB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.6,,,,67.2,,67.7,,,,64.9,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,,,,,,,,,,,,,,,,,,,,,,55.5,,,,,,,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",VEN,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,58,,,,,70.3,,,,,,,,,,,,75,,,,,,,,,,,
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2,,,,,,65,,,75.3,71.9,,74.2,73.9,78.5,75,75.7,76.9,75.7,79,79.4,,78,77.8,76.2,77.2,75.7,75.7,77.6,,76.4,76.5,,72.8
Vanuatu,VUT,,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,,,,,,,,,,,,,,,,,,,38.4,,,,,,49,,,,,,,,
World,WLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.66555429,,,,,,,,,,56.00880571,,,,,,,,,62.94414843,,
Samoa,WSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,,,,,26.9,,,,,,16.6,
Kosovo,XKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,9.7,,,,,20.8,,,,,,23.1,,,27.7,,,,,,,33.5,,,,,,,,
South Africa,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7,,,,,,,,,,56.3,,,,,,59.9,,,,,,,,,,,,54.6,,,,,
Zambia,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,,,25.9,25.9,,22.1,,,34.2,,,,,40.8,,,,,,,49,,,,49.6,,,
Zimbabwe,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,38.4,,,,43.1,43.1,,,,,48.1,,,,,53.5,,,,,,,60.2,,,64.9,,58.5,,,67,66.8,,,,,,
